[rl] Using Torch backend
INFO:train.py:Using configuration: banana
INFO:train.py:Using seed = 0
INFO:train.py:Running in headless mode
DEBUG:unityagents:The true file name is Banana
INFO:unityagents:
'Academy' started successfully!
Unity Academy name: Academy
        Number of Brains: 1
        Number of External Brains : 1
        Lesson number : 0
        Reset Parameters :
		
Unity brain name: BananaBrain
        Number of Visual Observations (per agent): 0
        Vector Observation space type: continuous
        Vector Observation space size (per agent): 37
        Number of stacked Vector Observation: 1
        Vector Action space type: discrete
        Vector Action space size (per agent): 4
        Vector Action descriptions: , , , 
INFO:root:Checkpoint dir : checkpoints/banana
DEBUG:simulator.py:[Training 164/1000 episodes] ε: 0.4417, Best: 2.24, Avg: 2.24, Steps: 300
DEBUG:simulator.py:[Training 165/1000 episodes] ε: 0.4395, Best: 2.28, Avg: 2.28, Steps: 300
DEBUG:simulator.py:[Training 166/1000 episodes] ε: 0.4373, Best: 2.32, Avg: 2.32, Steps: 300
DEBUG:simulator.py:[Training 167/1000 episodes] ε: 0.4351, Best: 2.37, Avg: 2.37, Steps: 300
DEBUG:simulator.py:[Training 168/1000 episodes] ε: 0.4330, Best: 2.38, Avg: 2.38, Steps: 300
DEBUG:simulator.py:[Training 169/1000 episodes] ε: 0.4308, Best: 2.41, Avg: 2.41, Steps: 300
DEBUG:simulator.py:[Training 170/1000 episodes] ε: 0.4286, Best: 2.46, Avg: 2.46, Steps: 300
DEBUG:simulator.py:[Training 171/1000 episodes] ε: 0.4265, Best: 2.53, Avg: 2.53, Steps: 300
DEBUG:simulator.py:[Training 172/1000 episodes] ε: 0.4244, Best: 2.59, Avg: 2.59, Steps: 300
DEBUG:simulator.py:[Training 173/1000 episodes] ε: 0.4223, Best: 2.64, Avg: 2.64, Steps: 300
DEBUG:simulator.py:[Training 174/1000 episodes] ε: 0.4201, Best: 2.65, Avg: 2.65, Steps: 300
DEBUG:simulator.py:[Training 175/1000 episodes] ε: 0.4180, Best: 2.65, Avg: 2.65, Steps: 300
DEBUG:simulator.py:[Training 176/1000 episodes] ε: 0.4159, Best: 2.65, Avg: 2.65, Steps: 300
DEBUG:simulator.py:[Training 177/1000 episodes] ε: 0.4139, Best: 2.65, Avg: 2.61, Steps: 300
DEBUG:simulator.py:[Training 178/1000 episodes] ε: 0.4118, Best: 2.65, Avg: 2.65, Steps: 300
DEBUG:simulator.py:[Training 179/1000 episodes] ε: 0.4097, Best: 2.67, Avg: 2.67, Steps: 300
DEBUG:simulator.py:[Training 180/1000 episodes] ε: 0.4077, Best: 2.69, Avg: 2.69, Steps: 300
DEBUG:simulator.py:[Training 181/1000 episodes] ε: 0.4057, Best: 2.74, Avg: 2.74, Steps: 300
DEBUG:simulator.py:[Training 182/1000 episodes] ε: 0.4036, Best: 2.74, Avg: 2.71, Steps: 300
DEBUG:simulator.py:[Training 183/1000 episodes] ε: 0.4016, Best: 2.74, Avg: 2.72, Steps: 300
DEBUG:simulator.py:[Training 184/1000 episodes] ε: 0.3996, Best: 2.77, Avg: 2.77, Steps: 300
DEBUG:simulator.py:[Training 185/1000 episodes] ε: 0.3976, Best: 2.77, Avg: 2.76, Steps: 300
DEBUG:simulator.py:[Training 186/1000 episodes] ε: 0.3956, Best: 2.77, Avg: 2.75, Steps: 300
DEBUG:simulator.py:[Training 187/1000 episodes] ε: 0.3936, Best: 2.79, Avg: 2.79, Steps: 300
DEBUG:simulator.py:[Training 188/1000 episodes] ε: 0.3917, Best: 2.79, Avg: 2.79, Steps: 300
DEBUG:simulator.py:[Training 189/1000 episodes] ε: 0.3897, Best: 2.85, Avg: 2.85, Steps: 300
DEBUG:simulator.py:[Training 190/1000 episodes] ε: 0.3878, Best: 2.92, Avg: 2.92, Steps: 300
DEBUG:simulator.py:[Training 191/1000 episodes] ε: 0.3858, Best: 3.00, Avg: 3.00, Steps: 300
DEBUG:simulator.py:[Training 192/1000 episodes] ε: 0.3839, Best: 3.06, Avg: 3.06, Steps: 300
DEBUG:simulator.py:[Training 193/1000 episodes] ε: 0.3820, Best: 3.08, Avg: 3.08, Steps: 300
DEBUG:simulator.py:[Training 194/1000 episodes] ε: 0.3801, Best: 3.08, Avg: 3.06, Steps: 300
DEBUG:simulator.py:[Training 195/1000 episodes] ε: 0.3782, Best: 3.13, Avg: 3.13, Steps: 300
DEBUG:simulator.py:[Training 196/1000 episodes] ε: 0.3763, Best: 3.13, Avg: 3.13, Steps: 300
DEBUG:simulator.py:[Training 197/1000 episodes] ε: 0.3744, Best: 3.13, Avg: 3.12, Steps: 300
DEBUG:simulator.py:[Training 198/1000 episodes] ε: 0.3725, Best: 3.18, Avg: 3.18, Steps: 300
DEBUG:simulator.py:[Training 199/1000 episodes] ε: 0.3707, Best: 3.22, Avg: 3.22, Steps: 300
DEBUG:simulator.py:[Training 200/1000 episodes] ε: 0.3688, Best: 3.29, Avg: 3.29, Steps: 300
DEBUG:simulator.py:[Training 201/1000 episodes] ε: 0.3670, Best: 3.33, Avg: 3.33, Steps: 300
DEBUG:simulator.py:[Training 202/1000 episodes] ε: 0.3651, Best: 3.37, Avg: 3.37, Steps: 300
DEBUG:simulator.py:[Training 203/1000 episodes] ε: 0.3633, Best: 3.38, Avg: 3.38, Steps: 300
DEBUG:simulator.py:[Training 204/1000 episodes] ε: 0.3615, Best: 3.38, Avg: 3.37, Steps: 300
DEBUG:simulator.py:[Training 205/1000 episodes] ε: 0.3597, Best: 3.44, Avg: 3.44, Steps: 300
DEBUG:simulator.py:[Training 206/1000 episodes] ε: 0.3579, Best: 3.45, Avg: 3.45, Steps: 300
DEBUG:simulator.py:[Training 207/1000 episodes] ε: 0.3561, Best: 3.45, Avg: 3.44, Steps: 300
DEBUG:simulator.py:[Training 208/1000 episodes] ε: 0.3543, Best: 3.45, Avg: 3.40, Steps: 300
DEBUG:simulator.py:[Training 209/1000 episodes] ε: 0.3525, Best: 3.45, Avg: 3.45, Steps: 300
DEBUG:simulator.py:[Training 210/1000 episodes] ε: 0.3508, Best: 3.50, Avg: 3.50, Steps: 300
DEBUG:simulator.py:[Training 211/1000 episodes] ε: 0.3490, Best: 3.60, Avg: 3.60, Steps: 300
DEBUG:simulator.py:[Training 212/1000 episodes] ε: 0.3473, Best: 3.69, Avg: 3.69, Steps: 300
DEBUG:simulator.py:[Training 213/1000 episodes] ε: 0.3455, Best: 3.72, Avg: 3.72, Steps: 300
DEBUG:simulator.py:[Training 214/1000 episodes] ε: 0.3438, Best: 3.75, Avg: 3.75, Steps: 300
DEBUG:simulator.py:[Training 215/1000 episodes] ε: 0.3421, Best: 3.85, Avg: 3.85, Steps: 300
DEBUG:simulator.py:[Training 216/1000 episodes] ε: 0.3404, Best: 3.85, Avg: 3.84, Steps: 300
